score,sentence1,sentence2
2,But do you actually believe there was an iceberg in those waters?,I absolutely do believe there was an iceberg in those waters.
0,There is simply no winning for Obama among conservatives.,This is rich coming from a conservative.
0,Satan represents indulgence instead of abstinence!,. Satan represents vengeance instead of turning the other cheek!
2,Just so long as the tax on that sale is paid.,Just so long as the tax is paid.
0,fix?: Islam itself is not political.,Islam has always been political.
2,March  is also the date for the uprising in CHINA.,Originally posted by Vitchilo March  is also the date for the uprising in CHINA.
2,I hope everything is OK!,I hope everything is okay.
2,Do you understand why it's absurd to limit the question to US residents?,Do you understand why non-US residents are also relevant to the statistics?
2,I have seen UFO over Warsaw in the past.,"Respectfully submitted, Steve I have seen UFO over Warsaw in the past."
2,depending on which action furthers their loony-tunes agenda of the moment.,depending on which action furthers their lonny-tunes agenda.
2,Do you further agree that I have made no claim?,So that you will admit and verify that I have made no claim.
1,Zimmerman says that he was sucker punched by his car.,"His ""friends"" say that he was confronted by his car."
2,"There is no ""WAR"" in the middle east.",There is no war in the Middle east.
2,Part of pro-life is the opposition to legalized abortion.,"Pro-life also refers to just ""opposition to abortion""."
1,"Capital gains, top rate:  percent."," - Income, top rate:  percent."
1,Time of the Season by the Zombies We are all vessels filled with many wonders.,The theme song to Cheers: We are all vessels filled with many wonders.
2,"No, I show you are willfully ignorant.","LOL, you are so ignorant."
2,We are all vessels filled with many wonders.,Jingle Bell Rock by Bobby Helm We are all vessels filled with many wonders.
1,the problem isn't who has money.,the problem is who doesn't have money.
1,Sadly Ford did accept taxpayer money.,Ford didn't accept taxpayer money to save the company.
0,The Muslims would say the same thing about the Qur'an.,The Hindus would say the same thing about the Bhagavad Ghita.
2,Your confusion doesn't make me a liar.,Then your confusion doesn't make me a liar either.
0,When Christians are extreme its just simply religion.,When Muslims are extreme it's terrorism.
0,Some believe the 'right' is most important.,Some believe not slaughtering the unborn is most important.
0,"Evolution is not an opinion, not a belief.","Atomic theory is not an opinion, not a belief."
1,I am not the one claiming the right to decide over another woman's body.,You want others to decide over a woman body.
0,Where in the world is Ron Paul?,Where in the world is the MEDIA??
1,you have no remains of a missile at the pentagon.,you have no remains of an A- at the pentagon.
2,"The point you quote should say ""I never said rehabilitation could never work.""","For the trillionth time, I've never said rehabilitation doesn't work."
0, billion . Everyone in the world at Mexico's current prosperity level.,"Everyone in the world at the current ""prosperity"" level of Northwest Africa."
2,my hair is pretty thing tho :/ Quote: Ditto.,my hair is pretty thing tho :/ woops!
0,It wouldn't stop joke marriages.,And I don't fight for marriage.
0,You seem to think that poor people are not responsible for their actions.,People are responsible for their actions.
1,Why did that transaction take place.,Did the transaction take place?
0,It's about the baggage attached.,It's not the same thing.
2,We are all vessels filled with many wonders.,Put a Little Love in your Heart We are all vessels filled with many wonders.
1,the problem isn't who has money.,the problem is who doesn't have money.
0,What makes you think the owl didn't participate?,It doesn't say that it didn't participate.
0,lol Looking forward to seeing your built-in's!,Look forward to seeing it!
0,Originally Posted by jacko!,Originally Posted by IZZY!
2,Thanks Candy for starting the thread.,Candy - Thanks for starting us off today.
0,Except that it wasn't.,Except that they couldn't.
1,"If I owe you , dollars, I have a problem.","If I owe you a trillion dollars, you have a problem."
2,If evidence is not provided to support a position; then it should be rejected.,If a position is unverifiable; then it should be rejected.
0,Everyone else at the current prosperity level of Mexico.,"Everyone in the world at the current ""prosperity"" level of Northwest Africa."
0,Bush gets zero credit for the budget under him.,"And, Obama gets zero credit for the budget under him."
0,LOL Don't you have to take a test to drive a vehicle in the US?,Is there a test to own a firearm in the US?
2,We both thought the movie was good and we didn't find it confusing in any way.,"I thought it was good, and I didn't find it confusing."
2,If God does not exist can anything be morally wrong?,I ask again if God does not exist can anything be morally wrong?
2,A law is constitutional if it does not conflict with the Constitution.,To be unconsititutional means to violate the constitution.
0,Originally Posted by muslim girl ooops sorry!,Originally Posted by muslim girl its not a complete impossibility.
0,This is not your country.,This is our country.
0,Originally Posted by zaf I suppose the water in the middle makes a difference.,"Originally Posted by zaf in the long term, yes."
2,Cone threw an  game.,Addie Joss Cone threw an  game.
2,Edited by LashL: Edited to properly mask profanity.,Edited by LashL: Edited to properly mask profanity in quoted post.
0,The jury is not told about juror nullification.,The quote you provide has nothing to do with jury nullification.
0,runs victim down Got any proof?,paranoid Got any proof?
2,"you don't use the search button much, do you?","you don't use the search button AT ALL, do you?"
2,I don't think Paul has a shot.,Paul doesn't have a shot.
2,Time of the Season by the Zombies We are all vessels filled with many wonders.,Joy to the World We are all vessels filled with many wonders.
2,Do you notice the nonsensical things you are saying?,"And to be fair, do you notice the nonsensical things you are saying?"
0,What if they messed up a study?,What if they had a personal bias?
0,Specifically a Baptist.,Specifically Gnostic.
0,And a large part of the east coast.,And parts of the west coast.
0,Why are you talking about women within the Hebrew tribes?,We were talking about women as war bounty were we not?
1,Last night Japanese forces attacked Hong Kong.,Last night Japanese forces attacked the Philippine Islands.
2,". What is your definition of ""life force""?","What is your definition of ""soul""?"
1,That is not direct responsibilty to the constituents.,Aye but they ARE responsible to their constituents.
2,"The ideology was built around violent expansion, so yes - VIOLENT expansion.",The ideology was built around violent expansion and race superiority.
2,Could this have been an enema?,"@ossobuco, Could this have been an enema?"
0,my final word: ignoring has the effect of normalizing.,taking advantage has the effect of reinforcing.
