score,sentence1,sentence2
2,A woman thinly slices an onion with a large knife.,A woman is slicing onions with a large knife.
2,A man is playing a keyboard.,A man plays a keyboard.
2,A man plays the guitar.,A man is playing the guitar.
2,A woman is peeling a potato.,A woman peels a potato.
2,A woman is handling a frog.,A man is holding a frog.
0,A man is playing a flute.,A man is playing a guitar.
0,A man is playing a guitar.,A man is playing a flute.
0,A man is playing a piano.,A man is playing a guitar.
0,A man is playing a guitar.,A man is playing a piano.
0,A man is playing a flute.,A man is playing a guitar.
0,A man is playing a flute.,A man is playing a guitar.
2,Two women are on a couch.,Two women are hugging on a couch.
2,Someone is slicing a cucumber.,A man is slicing a cucumber.
2,A kitten is playing with a blue rope toy.,A kitten is playing with a toy.
2,The dog is barking at the toy.,A dog is barking at a toy.
2,A person folds a tortilla.,A man folds a tortilla.
2,A cat is drinking milk.,A kitten is drinking milk.
2,A person is driving a car.,A man is driving a car.
2,A turtle is walking.,A tortoise is walking.
2,A cow is eating grass.,A cow is eating hay.
1,A woman is chopping broccoli.,A woman is chopping garlic.
2,A man is crying.,A man is screaming.
2,The man is playing the guitar.,A man is playing guitar.
2,A man is cutting an onion.,A man is cutting a plantain.
1,A man is slicing a potato.,A woman is peeling a potato.
2,A woman is tapping her fingers on a table.,A woman is tapping her fingers.
2,Someone is boiling okra in a pot.,Someone is cooking okra in a pan.
0,A man is smoking.,A man is mixing.
2,The man is playing the drums.,A man is playing drums.
2,A man dives into a pool.,A man is diving into a pool.
2,A woman is cutting a leak.,A woman is slicing a leek.
2,A little boy is playing a guitar.,A boy is playing guitar.
1,A woman is dancing.,The man is dancing.
1,Women are talking.,The men are talking.
1,A girl is putting gel in her hair.,A woman is putting gel on her hair.
1,A kid is playing guitar.,A man is playing a guitar.
0,A group of people are marching in place.,A group of people are dancing in concert.
0,The woman is shooting a machine gun.,The man is shooting a gun.
2,A man played the piano.,A man plays a piano.
2,A woman is slicing an onion.,Someone is slicing a onion.
2,A man is slicing a cucumber.,A man is cutting cucumbers.
1,A girl is eating a cupcake.,A woman is eating a cupcake.
0,A woman is cutting an onion.,A man is chopping an onion.
0,The man is playing a guitar.,A baby is playing a guitar.
0,A man is playing the guitar.,A man is playing the drums.
2,Two little girls talk on the telephone.,Two girls talk on the phone.
2,A man is chopping a log with an axe.,A man is chopping a tree trunk with an axe.
0,A person is cutting a capsicum into pieces.,A person is slicing a garlic into pieces.
0,A man is talking with a woman.,A woman is walking with a dog.
0,The man is walking.,A man is talking.
0,Someone is pouring oil into a skillet.,Someone is pouring milk into a blender.
2,A small kitten is playing a ball.,A kitten is playing with a ball.
0,A man is playing a guitar.,A woman is playing a flute.
1,A girl is playing a violin.,A girl is playing a flute.
0,A man is playing two pianos.,A cat is playing a piano.
2,A man is exercising.,A girl is exercising.
0,A person is slicing a scallop.,A person is slicing octopus.
0,A man and a woman are riding on their bicycles.,A man and woman are riding a motorcycle.
2,Two men are fighting in a cow pasture.,Two men are fighting in a cattle pen.
2,A woman is adding oil to a pan.,A man is pouring oil into a pan.
2,A girl makes up her bed.,A young girl makes her bed.
2,The cat played with a watermelon.,A cat is playing with a watermelon.
2,A girl jumps on a car.,A girl is jumping onto a car.
0,A man is praying.,A man is running.
0,A car is parking.,A cat is playing.
0,A man is running.,A man is dancing.
0,A man is singing.,A man is dancing.
2,A man is carrying another man over his shoulder.,A man is carrying someone on his shoulder.
0,A woman is peeling a potato.,A woman is slicing a tomato.
0,A woman is cutting a tomato.,A woman is slicing a potato.
0,Someone is peeling a potato.,Someone is slicing a tomato.
0,A woman is peeling a potato.,A woman is slicing a tomato.
2,Two robots kiss.,Two robots are kissing.
2,Two boys on a couch are playing video games.,Two boys are playing a video game.
2,A woman is squeezing a lemon.,A woman is squeezing juice out of a lemon.
0,A woman is slicing an onion.,A man is slicing a tomato.
0,A woman is slicing a carrot.,A man is slicing a tomato.
0,A girl is styling her hair.,A girl is filing her nails.
2,A man walking down the stairs.,A man walks down a staircase.
0,Two people are riding a motorcycle.,Two people are riding a bike.
1,A man is playing a guitar.,A woman is playing an electric guitar.
2,A man is playing a guitar and singing.,A man is playing a guitar.
0,A man is walking in the rain.,A man and woman is walking in the grand.
2,A kangaroo is eating.,Kangaroo eating.
0,A man is fishing.,A man is exercising.
0,A woman is swimming.,A man is singing.
0,A Woman is eating.,A animal is eating.
1,A boy and a girl is dancing in the rain.,A man and woman is dancing in the rain.
2,A man is driving a car.,A man drives a car.
2,A woman is grating onion.,A woman grates onions.
0,Two roosters are fighting.,Two men are fighting.
0,A man is riding a horse.,A man is driving a car.
0,A man is riding a horse.,A man is driving a car.
0,A man is shooting a gun.,A man is slicing a bun.
0,A woman is cutting an onion.,A woman is cutting meat.
0,The woman is slicing herbs.,The man is slicing bread.
2,A boy is playing the piano.,A man is playing a piano.
2,A baby elephant is eating.,A baby elephant eats a sapling.
2,A woman is cracking eggs into a bowl.,A woman is cracking eggs.
2,A person is playing the keyboard.,A boy is playing a key-board.
2,A boy whacks a man with a sword.,A boy spanks a man with a plastic sword.
0,A person is slicing a carrot into pieces.,A person is cutting an onion into pieces.
2,A man sliced through a bunch of water bottles with a knife.,A man is slicing a line of water bottles with a knife
1,A man is writing in a book.,A man is writing on a paper.
1,A woman is slicing a garlic.,A woman is slicing a big pepper.
0,A person is making a bed.,A person is eating at a table.
0,A man is playing keyboard.,A man is playing guitar.
0,A man is playing a violin.,A man is playing a harp.
0,The woman is smoking.,The man is walking.
2,The man erased what the other man had on the board.,The man erased the work on the board.
2,A man is riding a motorcycle.,A man is riding a motorcycle through a town.
2,A man is riding a motorcycle on the highway.,A man is riding a motorcycle.
0,A woman is slicing up some meat.,A woman is slicing some onions.
2,A woman cuts up broccoli.,A woman is cutting broccoli.
0,A man is playing a piano.,A woman is peeling a potato.
2,Someone is slicing a tomato.,Someone is slicing fruit.
2,A woman is dancing in a cage.,A woman is dancing.
0,A woman is swimming.,A man is spitting.
0,A man is running.,A man is mooing.
2,The man is playing the guitar.,The man played his guitar.
2,A cat stares into the camera.,A cat addresses the camera.
2,The baby is laughing and crawling.,A baby is laughing and crawling on the floor.
2,A woman is shooting a gun.,A woman shoots a shotgun.
0,A woman is dancing in the rain.,A woman is dancing in railway station.
0,A woman is dancing.,A woman is exercising.
2,A kid is playing an instrument.,A young boy is playing a wind instrument.
2,Someone slices a bottle with a sword.,A man breaks a bottle with a sword.
0,A woman is cutting an apple.,A woman is cutting potato.
2,The man is peeling an apple.,A man peels an apple.
0,The man is playing the guitar.,The man is playing with a skull.
2,An animal is walking on the ground.,A solenodon is walking along the ground.
1,A little girl is playing a grand piano on stage.,A little girl is playing the piano.
2,a group of people dancing,A group of men are dancing.
0,A man plays a guitar.,A woman is playing guitar.
2,A cat swings on a ceiling fan.,A cat is spun around by a ceiling fan.
2,A woman is playing the flute.,A girl is playing a flute.
2,The woman is dicing onions.,A woman is cutting an onion.
2,A monkey is brushing a bull dog.,A monkey brushes a dog.
0,A woman is slicing a onion.,A woman is cutting a potato.
0,A man is playing the piano.,A woman is playing a guitar.
0,A woman is washing her hands.,A woman is straightening her hair.
2,A woman fires a shotgun.,A woman is shooting a gun.
2,A man is eating a bowl of cereal.,The man is eating cereal.
2,A woman is bathing into bath-tub.,A woman is taking a bath.
2,A motorcyclist crashes on his motorcycle.,A person crashes on a motorcycle.
2,A man is dangling a mouse near a snake.,A man is feeding a mice to a snake.
2,A man and a woman are walking in the woods.,A man and woman are walking through the jungle.
2,A person pours some rice pudding into a bowl.,The lady poured the rice pudding into a bowl.
2,A man stares out a window.,A man looks out the window.
0,A woman is firing a rifle.,A woman is cutting a lemon.
0,A man is eating a banana.,Someone is peeling a banana.
1,The men are performing on stage.,The comedic mimes performed on stage.
1,A cartoon woman dives into a pool.,A cartoon woman is diving off a board.
2,The lady put the baby int a trashcan.,A woman puts a baby in a trash can.
0,Someone is frying meat.,Someone is playing paino.
2,A man is rapidly chopping some mushrooms using a knife.,A person is quickly chopping mushrooms with a knife.
0,A woman is adding ingredients to a bowl.,A woman is cracking three eggs into a bowl.
2,A skateboarder does tricks on a half-pipe.,A man skateboards on a half pipe.
2,A man is speaking on a stage.,A man is speaking at a podium.
0,A man is playing a guitar.,A man in a hat is playing a harp.
0,A man is playing on his keyboard.,A man is playing a guitar.
0,A person is cutting a potato.,A person is slicing a shallot.
2,A man is dancing on the ceiling of a room.,A man is dancing upside-down on the ceiling.
0,Two men are dancing.,Two women are shopping.
2,Someone is seasoning eggs.,Someone is seasoning two raw eggs in a bowl.
0,A man is swinging in a rope.,A gibbon is swinging in the trees.
0,A man is cutting tomatoes.,A woman is cutting broccoli.
0,A woman is boiling shrimp.,A woman is combing her hair.
2,A man cuts a potato.,A man is slicing a potato.
2,A man is dancing on the road.,A man is dancing.
2,The deer jumped over the fence.,A deer jumps over a cyclone fence.
2,A girl dances in the rain.,A woman is dancing in the rain.
0,A woman is writing a letter.,A woman is sitting at a desk.
2,A gorilla is playing the drums.,A monkey is playing drums.
0,A woman is riding on a horse.,A woman is picking tomatoes.
2,The boy cut the grass by the curb with scissors.,A boy cuts grass with scissors.
2,A man with glasses is talking.,A man in a library is talking.
0,A woman is cutting some flowers.,A woman is cutting broccoli.
2,A person is walking down a stone path.,A man is walking down a sidewalk.
2,A man plays the keyboard with his nose.,The man is playing the piano with his nose.
0,A man is playing guitar.,A cat is playing.
0,A animal is eating.,The animal is hopping.
2,A man is lifting weights.,A man is lifting a barbell.
1,A man is running with a bus.,A man runs with a truck.
0,A man is climbing a rope.,A man is sitting on a rock.
0,A cat is playing the piano.,A cat is licking its paw.
0,A woman is dancing in the rain.,A woman is adding oil to a dish.
1,Men are running a race.,Racers are running down a track.
0,A man is cutting tomatoes into pieces.,A woman is cutting potatoes.
0,A man is playing a flute.,A woman is applying eye liner.
0,A woman is cutting potatoes.,A woman is slicing carrots.
2,A chicken is pecking at a dead mouse.,A rooster pecks at a dead mouse.
0,The woman is thinly slicing a cucumber.,The woman is slicing a tomato.
2,A person is slicing a bread pieces.,A man is slicing bread.
1,A woman is cutting a squash.,A woman is cutting big pepper.
0,A woman is adding oil on fishes.,A woman is riding a horse.
0,A woman is grating carrots.,A woman is coating a pork chop.
1,Someone is cleaning a animal.,A woman is cleaning a shrimp.
2,A man is talking on the phone.,A man is talking.
0,A woman is smoking.,A woman is making some food.
2,A man laying down and shooting a gun,A man is laying on the ground shooting a rifle.
0,A man is being put into an abulance.,A man is pouring pasta onto a plate.
0,A man is diving into a swimming pool.,A man is singing into a microphone.
2,A man is firing a shot gun.,A man shoots a shotgun.
0,A man playing the guitar.,A man is playing a flute.
0,A man is peeling potato.,A man is playing a guitar.
0,The woman is riding a horse.,A man is riding a horse in an arena.
1,An airplane moves along a runway.,A plane is landing on a runway.
0,A woman is slipping in the water-tub.,A woman is lying in a raft.
0,A man is mowing a lawn.,A man is mixing.
0,A woman is peeling a potato.,A woman is hitting a man.
0,A man is playing piano.,A man is laying on the ground.
0,A woman is doing ballet.,A woman is riding on a horse.
0,A woman is cutting an onion.,A woman is rowing a boat.
1,A woman is stirring rice in a pot.,Someone is putting rice in a pan.
1,A woman puts slabs of meat in a pan.,A man puts pieces of meat into a plastic bag.
2,The boy played his trumpet.,A boy is playing the trumpet.
0,A person is riding a horse.,A man is riding a motorcycle.
0,A woman is slicing an onion.,A woman is cutting a carrot.
1,A man is slicing vegetables.,A woman is slicing a potato.
0,A cat is playing.,A woman is playing flute.
2,A man is riding a bicycle.,A man is riding a bicycle around a parking lot.
2,A band is performing on a stage.,A band is playing and singing on a stage.
0,The woman is slicing fish cake.,The woman is riding a horse.
0,A man is eating bread.,A man is playing flute.
0,A woman is cooking shrimp.,A woman is dancing.
0,A woman is dancing.,A woman is slicing ginger.
2,"A woman tosses a cat in the air, and the cat hangs off a rod on the ceiling.",A person throws a cat in the air and it grabs onto the ceiling.
2,A big turtle is walking.,The tortoise is walking.
0,A man is burning a flag.,A man is shooting a gun.
0,The man is pushing the van.,The woman is singing.
0,A man is eating wood.,A man is adding oil to car.
0,A dog is speaking to the camera.,A dog is eating some water melon.
1,A man is putting two paper towels on a paper plate.,A man is putting papers on a dish.
2,A man and woman are walking.,A man and woman walking hold each other.
2,A man is cutting a rope with a sword.,The man slced through a thick rope with a sword.
2,The man is singing and playing the guitar.,A man is playing a guitar.
1,A man is cutting a paper.,A person is tearing paper.
0,A man is dancing.,A rat is running.
0,Two boys are talking on the phone.,A woman is talking on a telephone.
0,A man is playing guitar.,A woman is peeling a tuber.
0,A woman is slicing an onion.,A women slicing lemons.
0,A woman is riding a horse.,A man is running on rope.
0,A man is playing soccer.,A man is drawing some figures.
0,A woman is peeling an orange.,A man is playing a flute.
2,Someone is cracking an egg open.,A man is breaking an egg.
0,A man is cutting a snake to cook.,A woman is cutting meat.
0,A woman is scraping a carrot.,A man is striking clay pots.
0,A man and woman are Bollywood dancing.,A man an woman are dancing in the rain.
0,A woman is cutting flowers.,A man is holding huge sunflowers.
0,The man danced in the diner.,The bomb exploded in the desert.
2,American flag is waving.,A American flag is blowing in the wind.
1,A lion is walking in an enclosed area.,A lion is walking around.
0,A woman is slicing a lemon.,A man is showing a bread.
0,A woman is playing the flute.,A woman is slicing some tuna.
2,The dog is barking at the toy.,A dog is barking at an electronic toy duck.
2,A woman is adding an egg and stirring.,A woman is mixing an egg in a bowl.
2,A woman covers a piece of meat with flour.,A woman is seasoning a piece of meat.
2,A white cat perched on a small wooden cabinet is looking outside the window.,"A cat, perched on a table, looks out the window."
2,A man does floor exercises.,A man is exercising.
0,A man is slicing a potatoe.,A man is peeling a banana.
2,Someone is playing piano.,A person is playing a keyboard piano.
1,The woman is putting makeup on the man.,A woman is painting the face of a man.
2,The woman droppped eggplant into the pan.,A woman puts chopped eggplant into a skillet.
2,A man plays a trumpet.,A man is playing a musical instrument.
1,A woman is slicing a lemon.,"A woman, in a kitchen, peels a lemon."
2,A tiger trys to climb the wall.,A lion is trying to climb up over a wall.
2,A man is preparing a hanging rope.,A man is tying a noose.
2,A woman dances on a stage.,A woman is dancing.
0,The girl is riding the horse.,The girl is spraying the plants with water.
0,A person is frying.,A person is peeling a potato.
0,A man is shooting a pistol.,A woman is chopping garlic.
0,A woman is swinging her arms.,A woman is slicing an onion.
0,A man is walking outside.,A man is dancing.
0,A man dries his hands.,A woman fixes her hair.
2,A soccer player is kicking the soccer ball into the goal from a long way down the field.,A soccer player kicks the ball into the goal.
2,A girl is playing the piano.,A little girl is playing a grand piano on stage.
2,A man is drawing some figures.,A man is drawing on a digital dry erase board.
0,The monkey is hanging from the trees.,The monkey swung from branch to branch.
2,Some children are jumping on Trampoline.,Two boy are playing on a trampoline.
2,A woman with a knife is slicing a pepper.,A women slicing green pepper.
0,A man is adding oil to car.,A man is putting anti-freeze into a car.
0,A man is slicing a carrot by a machine.,A man is climbing a rope.
2,A boy played a keyboard.,A person is playing a piano keyboard.
0,A cat is playing with an antenna.,A boy is playing in the mud.
0,A woman is slicing pumpkin.,A person is slicing cantaloupe.
2,The people threw the dummy over the cliff edge.,Some people are throwing a dummy off a cliff.
0,A gun is being fired.,A potato is being peeled.
0,A woman is cutting a plastic sheet.,A woman is playing a guitar on streets.
2,A woman cuts a pineapple.,A woman is slicing a pineapple into pieces.
2,A woman is adding spices on a meat.,A woman adds ingredients to beef.
2,A person is adding oil in the pan.,The cook pouring oil into the pan.
2,A cook seasons some dough.,A man is seasoning some dough in a pan.
1,A boy is running on a beach.,Two boys are playing in the beach.
2,A baby monkey scratches itself.,The monkey scratched his tummy.
0,A boy is riding a bike on a gate.,A woman is riding a horse.
0,A man is doing a card trick.,A man is squeezing water.
0,A man is playing the piano.,Someone is playing guitar.
2,A man is mowing grass.,A guy is mowing the lawn.
0,A person is mixing water and flour.,A person is hitchhiking on a road.
0,The two dogs were in the pen.,The cowboy rode his horse in the desert.
2,A man is riding on one wheel on a motorcycle.,A person is performing tricks on a motorcycle.
2,A cat opens a drawer and climbs inside.,A big cat opens a plastic drawer with his paws and then hops inside.
0,A man is opening a box using a knife.,A man is playing a guitar.
0,A man is kicking oots of water.,A woman is slicing a red pepper.
0,A man is eating.,A woman is rock climbing.
2,A puppy is repeatedly rolling from side to side while on its back.,A dog is rolling from side to side.
2,A young boy sings and plays a guitar.,A kid plays the guitar.
0,The woman is peeling lemon.,The man is balancing on the wire.
0,A man is playing the trumpet.,Someone is playing with a toad.
0,A dog is looking around,A dog is watching a store counter.
0,A woman is slicing an onion.,A man is shown slicing a carrot with a knife.
2,The man drilled holes into the wood.,A man drills wood.
0,Someone is cutting a circle out of a pink sheet of paper.,Someone is pouring tomato sauce into a pot of meat.
0,A man is playing flute.,A man is petting a tied up dog.
0,A man is placing meat in a bag.,A man is drivong a car.
0,A girl is eating a cupcake.,A man is playing a trumpet.
2,A rabbit is sniffing and pawing a stuffed rabbit.,A live rabbit is playing with a stuffed animal bunny.
0,A man is buttering bread.,A woman is ridint a horse.
0,A woman is squeezing some cucumber slices.,A woman is getting doused in green slime.
2,A man is taking out the insides of a green pepper.,Someone is removing the seeds from a bell pepper.
1,A man takes a piece of pepperoni pizza out of a pizza box and puts it on the lid after he closes the box.,The man took a piece of pepperoni pizza out of the box.
2,The man added vegetables to the broth in the pot.,A man is adding sliced vegetables to a cooking bowl with water.
2,The man ran and jumped against the wall.,A man jumps into a wall.
1,The man is seasoning the sausages.,The man added seasoning to water in a bowl.
2,A clown is singing and people are dancing.,A clown is singing.
0,A woman is feeding an aardvark.,A woman is chopping up garlic.
2,A person is rinsing a steak off with water.,A man is rinsing a large steak.
2,A boy rode his bike on top of a metal fence.,A BMX biker rides along the top of a fence.
0,A man is throwing knives at a tree.,A man is showing magic.
1,Girls are walking on the stage.,Women models are walking down a catwalk.
2,A woman is doing weight exercises.,A woman is exercising with a barbell.
0,A man is peeling a potato.,A man is hiking.
2,A large bird standing on a table picks up a plastic glass containing liquid and places it in a bowl of something.,A bird picks up a plastic cup containing a liquid with it's beak and puts the cup into a bowl.
0,A woman is in the rain.,A car is driving along the road.
0,A woman is hitting a man.,A man is holding a slow loris.
0,A woman is riding an elephant.,A man is lifting himself.
0,A man is lifting weights.,A woman is exercising her abs.
0,A person is riding a jetski in the waves.,A woman is riding a seadoo.
0,A woman is wearing headphones.,A woman is chopping some shiso leaves.
2,A kitten is eating its food from a plate.,A kitten eats some food.
0,A woman is reading a lifestyle magazine.,A woman is slicing a meat into pieces.
1,A man is pouring chili into a bowl.,A man opens a can and pours the contents into a bowl.
2,The bird ate the food in the tree from a bowl.,A bird is eating from a bowl.
0,A group of girls are exiting a taxi.,A video clip of Rihanna leaving a taxi.
0,A woman is seasoning a piece of meat.,A man is loading a rifle with bullets.
0,A man is chopping coriander leaf.,A man is playing a guitar.
0,A man takes a slice of pizza.,A man talks on his cell phone.
0,A man is placing meat inside a plastic bag.,A woman is carrying a wallaby in a bag.
0,A rabbi is talking.,A man is walking on a rope.
0,A man rides a horse.,A woman rubs a baby's leg.
0,A man is playing guitar.,Smeone is laying down.
0,A man is slicing a bun.,A man is breaking pots.
0,A man  is driving a car.,A woman dips a shrimp in batter.
2,A dog is pawing at a fly in the carpet before it.,The dog played with a bug on the carpet.
0,A dog is barking.,A jet is flying.
0,A monkey is walking on a bed.,A man is riding a horse.
0,A woman is cooking broccoli.,A man is eating his food.
0,A man is frying a tortilla.,A person is performing a card trick.
1,A woman serving volleyballs over a net.,One woman hands volleyballs to another woman who serves them.
0,A man is slicing cucumber with a knife.,A man is cooking a tortilla in a skillet.
0,A man is playing an electronic keyboard.,A band is playing instruments.
0,A man is playing a violin.,The baby is laughing and crawling.
2,A man severs the toe of an empty leather boot using a sword.,A man is cutting a boot with a sword.
2,The person is removing the scales from the fish.,A person is descaling a fish.
0,People are walking in the garden.,One boy is talking with other man.
2,A young child rides a horse.,The little girl rode a horse.
0,A person is cutting garlic into pieces with a knife.,Someone is putting ingredients into a wok.
0,A man is folding a piece of paper.,A man is slicing a plastic container with a sword.
1,The man was pushed into the water.,A man pushes another man into the ocean.
0,A boy is upset playing video games.,Someone is playing a gameboy.
2,A man makes a call on a cell phone.,A man is making a phone call.
0,A man is speaking on a phone.,A panda bear is chewing on a stick.
2,A woman is applying cosmetics to her face.,A woman is putting on makeup.
2,The man lifted barbells.,A man lifts weights.
2,A woman feeds an animal by hand.,The women are feeding the animal.
1,Several ferrets climb out of their cage.,Ferrets climb down from a shelf.
0,A young woman is playing the flute.,A woman is washing off the top of a freezer.
1,A woman shoots a shotgun.,The woman is shooting a rifle.
2,A person is adding chili powder to chili with beans.,The man is adding seasoning to the beans.
2,A woman rapidly fires a handgun.,A woman is shooting off a gun.
0,A person is slicing an onion.,A solenodon is walking along the ground.
0,A dog is opening a fridge.,A dog closes a refrigerator door.
0,A woman is holding a dancing baby up.,A woman is abusing her child.
0,A woman is doing a joker make up on a man.,The girl applied face makeup to a man.
0,The lady added cheese to the sauce.,A man pours a plate of shredded cheese into a pot of sauce.
1,A man is giving a lecture on a podium.,A man is delivering a lecture at an event celebrating the game of cricket.
0,The cat shimmied under the bed.,A cat is crawling upside down under the couch.
0,A woman is chopping garlic.,A woman slices a fish.
0,A man is cutting grass.,A masked man sings.
0,A man is cutting grass.,A clown is singing.
2,A boy runs away from his fishing line.,A boy is running in front of fish hanging on fishing rod.
0,The man played haki sak in the office.,The man is seasoning the vegetables.
0,A man is carrying another man on his back.,A man is taking pictures of ant.
2,Meat is dropped into a pan.,A woman is putting meat in a pan.
0,A woman is cutting scallions.,A woman falls on a sand castle.
0,A man is slam dunking a ball.,A woman is slicing some onions.
0,A machine is sharpening a pencil.,A girl is riding a bicycle.
0,A woman is brushing her feet.,The sun is rising behind trees.
0,A man is cleaning the windows.,A man is driving a car.
0,A person is stirring rice.,A woman is cracking an egg.
0,A man puts a knife in a vice.,A man is dancing.
2,A boy plays violin on stage.,A boy is onstage playing the violin.
0,A woman cuts a pink loaf with a knife.,A man is playing a guitar.
0,A man is adding pork chops to a pan.,A woman is peeling a potato.
0,The men are fighting each other.,The man drew on the white paper.
0,A man is catching a ball.,A cat is rubbing against a baby.
0,A girl is reading a newspaper.,A chef is peeling a potato.
1,A slow loris bites a persons fingers.,A small animal is chewing on a finger.
0,A man is walking along a path through wilderness.,A man is peeling an onion.
2,The man played his guitar.,A guy is singing while playing his guitar.
1,Some men are skating on the road.,Two boys are skate boarding.
1,A man pours liquid into a pan.,The chef poured oil in the pan.
0,A boy is playing piano and singing.,A pig is agitating a lion.
2,A cat and a ferret are playing.,A ferret and kitten play together.
0,A monkey is walking through the water.,A guy is playing a trumpet.
0,A woman is putting on makeup.,A band is singing.
0,A dog is driving a car.,A guy is talking into a microphone.
2,The man sang on stage into the microphone.,A man in a suit is standing at a microphone and singing.
1,A car backs out of a space.,A car is taking reverse.
0,A man is holding a frog.,A man is emptying a plastic container.
0,A man is traveling in a boat.,A woman is cutting up a carrot with a knife.
2,The man rode his motorcycle down the highway.,A person is driving a motorcycle on a road.
0,A man is dicing an onion.,The man is playing the guitar.
0,A man performs on a stage.,A man guts a fish.
1,The women are sitiing down.,Two women are sitting close to each other and talking.
0,A man removes a couple of toaster scrambles from a plastic packet.,A man removes food from a bag.
0,A woman is dancing by a fire.,A man ties a noose.
0,A man is meditating.,The man is riding the horse.
0,A boy is cutting paper.,A man is loading a rifle.
0,The man talked on the telephone.,Girls are walking on the stage.
0,A man is playing the guitar and singing.,A man is opening a package containing headphones.
2,the soccer player kicked the ball side to side between his legs.,A person is kicking a soccer ball back and forth between his feet.
0,An animal is walking.,A woman is applying eye makeup.
0,Someone is scratching an animals belly.,A woman is stroking a lemur.
0,A man is lifting heavy weights.,A wallaby is licking a woman's hand.
2,A boy is playing with a toy.,A boy plays a handheld game.
0,A man dives off of a cliff.,A man is riding a motorcycle.
2,A man is coming out into the water.,A man rises from a swamp.
0,A man and woman dance.,A man is petting a dog.
2,A man is sweeping the floor of a house using a long broom.,The man swept the empty living room.
2,A group of couples are dancing.,Men and women are dancing slowly.
0,A man is scaling a fish.,A man pours some cooking oil into a pot.
1,The man set up his camera to take sunset pictures at the beach.,A man is taking pictures of a lake.
0,Someone is holding and petting a baby tiger.,Someone is rinsing a large beef steak at the kitchen sink.
0,The man is playing the guitar.,The cat cleaned his face with his paw.
0,The man did pushups on a wall.,The man tased the food.
1,A woman cuts up a vegetable.,A woman is slicing egg plant.
1,A person breaks an egg into a small bowl.,A man cracks an egg.
0,A man is playing keyboards.,A man is riding a mechanical bull.
2,A dog is running around a yard.,A black pet dog runs around in the garden of a house.
0,A child is walking down the street as a jeep pulls up.,A woman is walking along a road and a man in a motorcar pulls up beside her.
0,A man is adding oil to a pot.,A dog is catching a fish in a river.
1,The girl danced in front of the bonfire.,A woman is dancing to music standing near a bonfire.
0,A man is chopping butter into a container.,A woman is cutting shrimps.
2,A girl is dragged downhill by a dog.,A dog is pulling a child down a hill.
2,The man took off his sunglasses while talking.,A man wearing a hard hat removes his glasses as he speaks.
0,The two men did a funny skit with a boxer in front of a crowd of people.,Boys are dancing in front of people.
1,The girl is tiding up her bed.,A woman is making a bed.
0,Someoen is cooking onions.,A man is swinging nunchucks.
2,The man is using a sledghammer to break the concrete block that is on the other man.,A man breaks a slab of concrete that is lying on a prone man with a sledge hammer.
2,The lady put the dried noodles in the hot water to cook.,A woman places a container of noodles in a pan of water.
0,The girls danced on the stage.,A girl is putting on makeup.
2,A panda bear is laying down.,A baby panda relaxes on some logs.
2,Two kids are playing in a swimming pool with a green colored crocodile float.,Two kids push an inflatable crocodile around in a pool.
0,A couple of policewomen are singing karaoke.,Two women are dancing.
0,A man is putting broccoli into water.,A person is peeling a potato.
1,The doctor was helping the patient.,Doctors are trying to revive a man.
0,Some is grating onion into water.,A person grates a potato into a bowl.
0,A baby is talking.,A boy is trying to say firetruck.
2,A woman boils eggs.,A woman places two eggs into a pot of water.
0,A woman puts ingredients in a whisked egg.,A man pours gasoline.
0,A woman is slicing mango.,A man is putting cheese on a tortilla.
0,A girl is slicing a butter into two pieces.,A woman is slicing tofu.
0,A man is playing the guitar.,A person is slicing a meat into pieces.
0,A man is opening a package containing headphones.,A woman is riding a horse.
0,A girl is playing a guitar.,A boy is playing a key-board between the people.
0,A little girl plays the violin on a beach.,The girl sat on the couch to crochet.
2,A monkey is karate kicking at someone's gloved hand.,A monkey pratices martial arts.
0,A female applies something to he hair with her hands.,A cat is eating a slice of watermelon.
1,A man is karate kicking at another man wearing protective boxing gloves.,A man is kick boxing with a trainer.
0,The man is playing the wooden flute.,A little boy is vacuuming the floor.
0,A young woman is playing a guitar.,A woman cuts up some meat.
0,The men are playing soccer.,A man is riding a motorcycle.
0,A woman is running on the beach.,A dog is swimming in a pool.
0,A man is straining pasta.,A man plays a wooden flute.
0,Panda's play on a swing.,A man is playing guitar.
2,Two green and white trains sitting on the tracks.,Two green and white trains on tracks.
1,A small white cat with glowing eyes standing underneath a chair.,A white cat stands on the floor.
2,A large boat in the water at the marina.,A large boat on the sea.
2,a bus driving in a street.,Red double decker bus driving down street.
2,A passenger train waiting in a station.,A passenger train sits in the station.
2,a woman at a dinner table writing on her notebook.,Woman at table busy with something.
2,An Apple computer sitting on the floor.,A Macintosh computer sitting on the floor.
2,A close-up of a brown horse's head.,A side view of a horse's head.
1,A group of people eat at a table outside.,Group of elderly people sitting around a table.
2,A jockey riding a horse.,A jockey riding a horse in a pen.
2,The man is riding a motorcycle down the road.,A man is riding a red motorcycle on the road.
2,A woman riding a brown horse.,A young girl riding a brown horse.
0,A kid jumping a ledge with a bike.,A black and white cat playing with a blanket.
2,A black dog standing in front of yellow flowers.,A black dog standing in a field.
2,Close up of a bottle of water.,A close up view of a bottle of water.
0,A close up of a brown faced cat.,A close up of an ostrich face.
2,sheep standing in afield.,A sheep grazing in a field.
